machine_id,timestamp,sensor_1,sensor_2,sensor_3,sensor_4
M_001,2022-01-01,25.754,19.542,42.956,42.305
M_001,2022-01-02,26.211,20.183,46.071,40.735
M_001,2022-01-03,27.633,21.299,44.263,41.967
M_001,2022-01-04,28.146,22.172,47.17,42.755
M_001,2022-01-05,30.868,20.779,45.599,42.679
M_001,2022-01-06,26.334,23.0,47.159,43.016
M_001,2022-01-07,27.4,20.644,45.648,43.923
M_001,2022-01-08,27.821,21.811,47.037,44.436
M_001,2022-01-09,28.303,22.564,47.92,43.465
M_001,2022-01-10,27.661,22.848,46.216,42.847
M_001,2022-01-11,29.086,21.724,43.659,43.402
M_001,2022-01-12,27.183,21.493,46.534,42.657
M_001,2022-01-13,27.494,19.461,44.839,43.928
M_001,2022-01-14,26.911,19.46,44.359,41.181
M_001,2022-01-15,26.646,20.315,44.387,41.792
M_001,2022-01-16,26.617,20.085,44.067,40.962
M_001,2022-01-17,26.075,19.932,45.005,39.83
M_001,2022-01-18,24.574,20.327,43.05,41.978
M_001,2022-01-19,26.405,20.596,42.621,40.321
M_001,2022-01-20,24.207,19.828,44.91,40.819
M_001,2022-01-21,24.476,18.305,43.618,38.488
M_001,2022-01-22,24.845,17.598,43.432,39.392
M_001,2022-01-23,23.845,17.552,42.379,40.034
M_001,2022-01-24,25.289,18.976,44.112,42.029
M_001,2022-01-25,24.02,18.343,41.407,40.779
M_001,2022-01-26,25.826,17.863,43.646,40.987
M_001,2022-01-27,25.01,19.835,43.461,38.811
M_001,2022-01-28,26.156,20.636,44.343,39.396
M_001,2022-01-29,24.729,18.554,44.753,41.993
M_001,2022-01-30,26.314,21.035,43.525,41.28
M_001,2022-01-31,24.948,19.75,45.699,41.322
M_001,2022-02-01,27.955,21.487,47.982,42.083
M_001,2022-02-02,25.748,21.324,44.694,43.376
M_001,2022-02-03,27.571,21.596,45.907,43.513
M_001,2022-02-04,27.399,22.833,47.399,42.753
M_001,2022-02-05,27.183,21.8,47.321,43.446
M_001,2022-02-06,28.921,24.258,47.024,42.726
M_001,2022-02-07,29.447,22.645,47.765,44.7
M_001,2022-02-08,27.443,23.988,47.809,43.042
M_001,2022-02-09,28.631,22.788,46.853,44.443
M_001,2022-02-10,29.606,22.38,48.002,44.401
M_001,2022-02-11,28.167,22.315,45.284,41.678
M_001,2022-02-12,27.801,20.984,46.098,42.345
M_001,2022-02-13,25.497,21.847,45.373,42.61
M_001,2022-02-14,26.006,20.769,46.962,42.272
M_001,2022-02-15,27.045,19.429,47.387,43.583
M_001,2022-02-16,27.455,21.125,44.609,41.778
M_001,2022-02-17,26.754,19.282,43.764,39.281
M_001,2022-02-18,24.584,21.221,43.524,40.282
M_001,2022-02-19,25.375,17.649,44.505,41.567
M_001,2022-02-20,25.2,20.678,41.998,41.911
M_001,2022-02-21,23.934,17.589,42.93,41.781
M_001,2022-02-22,24.57,17.861,41.797,39.729
M_001,2022-02-23,22.607,17.506,44.647,41.169
M_001,2022-02-24,24.572,18.439,43.261,42.293
M_001,2022-02-25,25.287,19.996,43.182,40.187
M_001,2022-02-26,25.787,19.47,41.745,41.665
M_001,2022-02-27,24.847,21.778,44.652,40.778
M_001,2022-02-28,26.276,19.932,43.852,41.288
M_001,2022-03-01,27.131,19.986,44.126,41.135
M_001,2022-03-02,27.626,22.33,45.538,42.499
M_001,2022-03-03,26.472,22.182,46.155,41.635
M_001,2022-03-04,25.723,20.495,45.344,43.917
M_001,2022-03-05,29.438,21.65,45.979,43.391
M_001,2022-03-06,28.22,23.343,46.187,44.401
M_001,2022-03-07,28.226,23.523,46.696,43.096
M_001,2022-03-08,30.559,23.916,45.357,43.444
M_001,2022-03-09,29.951,21.753,48.019,44.657
M_001,2022-03-10,28.059,22.953,45.17,45.772
M_001,2022-03-11,28.374,23.691,47.799,45.285
M_001,2022-03-12,28.091,22.932,47.586,44.641
M_001,2022-03-13,29.445,22.017,46.129,44.895
M_001,2022-03-14,25.955,23.766,46.192,43.231
M_001,2022-03-15,26.959,21.797,47.415,43.657
M_001,2022-03-16,27.748,21.549,44.312,41.656
M_001,2022-03-17,26.509,21.514,45.424,43.079
M_001,2022-03-18,26.921,20.706,47.226,42.098
M_001,2022-03-19,25.63,22.126,45.765,43.122
M_001,2022-03-20,25.601,20.892,42.761,41.74
M_001,2022-03-21,25.255,18.262,44.948,38.847
M_001,2022-03-22,23.266,19.746,44.253,41.394
M_001,2022-03-23,25.763,20.702,44.223,40.133
M_001,2022-03-24,24.872,18.868,43.744,39.093
M_001,2022-03-25,25.299,19.075,43.736,40.481
M_001,2022-03-26,22.604,18.359,43.45,40.245
M_001,2022-03-27,25.498,19.745,45.257,40.795
M_001,2022-03-28,25.183,18.101,42.63,41.276
M_001,2022-03-29,26.879,21.564,43.493,40.759
M_001,2022-03-30,26.435,22.444,44.81,42.988
M_001,2022-03-31,26.772,21.96,46.131,42.012
M_001,2022-04-01,26.009,20.965,47.021,43.152
M_001,2022-04-02,27.024,21.319,44.229,44.146
M_001,2022-04-03,28.753,21.934,46.57,40.94
M_001,2022-04-04,27.754,23.78,47.725,43.816
M_001,2022-04-05,28.549,23.564,46.785,42.143
M_001,2022-04-06,28.815,23.429,48.446,42.624
M_001,2022-04-07,28.88,23.132,46.404,44.735
M_001,2022-04-08,29.849,23.015,49.659,44.027
M_001,2022-04-09,28.667,22.842,46.801,43.799
M_001,2022-04-10,27.605,23.051,47.599,42.0
M_001,2022-04-11,28.779,23.127,47.898,45.329
M_001,2022-04-12,29.498,22.23,46.413,44.47
M_001,2022-04-13,27.801,21.324,49.224,43.281
M_001,2022-04-14,27.371,20.01,47.351,42.254
M_001,2022-04-15,27.64,22.785,45.142,42.936
M_001,2022-04-16,28.732,18.955,44.9,41.548
M_001,2022-04-17,26.617,20.96,44.245,41.394
M_001,2022-04-18,25.645,20.272,45.139,42.573
M_001,2022-04-19,27.123,20.926,43.696,41.309
M_001,2022-04-20,28.143,20.988,43.831,42.595
M_001,2022-04-21,25.147,19.071,45.433,39.47
M_001,2022-04-22,23.463,20.522,43.907,40.749
M_001,2022-04-23,24.94,19.268,43.346,39.92
M_001,2022-04-24,24.932,19.105,42.988,40.013
M_001,2022-04-25,22.91,20.301,44.305,40.572
M_001,2022-04-26,25.832,20.072,43.373,40.306
M_001,2022-04-27,26.38,20.264,46.398,42.716
M_001,2022-04-28,27.108,19.617,44.113,40.417
M_001,2022-04-29,26.828,18.012,44.592,41.486
M_001,2022-04-30,25.434,21.96,44.321,42.47
M_001,2022-05-01,30.17,19.979,45.74,42.223
M_001,2022-05-02,27.212,22.778,47.422,43.829
M_001,2022-05-03,27.5,24.861,44.955,42.435
M_001,2022-05-04,28.767,22.891,47.587,45.421
M_001,2022-05-05,28.8,23.238,46.828,44.752
M_001,2022-05-06,28.859,23.062,48.223,45.456
M_001,2022-05-07,27.151,23.924,47.591,45.551
M_001,2022-05-08,29.208,24.963,47.284,42.472
M_001,2022-05-09,30.521,22.831,46.392,44.73
M_001,2022-05-10,29.156,24.422,48.79,44.735
M_001,2022-05-11,28.352,23.728,47.904,45.05
M_001,2022-05-12,28.128,22.807,48.015,45.494
M_001,2022-05-13,29.67,22.99,46.719,44.352
M_001,2022-05-14,27.262,21.741,48.366,44.0
M_001,2022-05-15,27.62,23.001,47.757,42.768
M_001,2022-05-16,27.137,21.215,47.03,43.782
M_001,2022-05-17,28.546,22.373,44.03,42.685
M_001,2022-05-18,25.716,20.465,45.447,42.854
M_001,2022-05-19,25.533,18.303,45.107,44.312
M_001,2022-05-20,25.922,20.376,46.41,41.96
M_001,2022-05-21,26.108,20.538,44.644,39.996
